"response_id","question_key","raw_response","primary_code","primary_code_label","matching_codes","needs_review"
242,"why_apply_esc","Because we are financially unstable for now and my wife has the only work now.",1,"cost_financial_assistance","1",FALSE
243,"why_apply_esc","My salary is not enough to pay for my son’s tuition fee that is why I applied for ESC.",1,"cost_financial_assistance","1",FALSE
244,"why_apply_esc","For my child education",3,"school_quality_private_opportunity","3",FALSE
245,"why_apply_esc","TO LESSEN THE BURDEN OF PAYMENTS BECAUSE I HAVE 3 KIDS.",1,"cost_financial_assistance","1",FALSE
246,"why_apply_esc","To aid the tuition and lessen financial struggles.",1,"cost_financial_assistance","1",FALSE
247,"why_apply_esc","Less of payment",90,"other_substantive","90",TRUE
248,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
249,"why_apply_esc","I apply to ESC to avail less tuition  fee.",1,"cost_financial_assistance","1",FALSE
250,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
251,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
252,"why_apply_esc","salary cannot suffice daily expenses",1,"cost_financial_assistance","1",FALSE
253,"why_apply_esc","Because we are financially exhausted",1,"cost_financial_assistance","1",FALSE
254,"why_apply_esc","we need financial assistance",1,"cost_financial_assistance","1",FALSE
255,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
256,"why_apply_esc","Kailngan po kc ng anak ko grade 8",90,"other_substantive","90",TRUE
257,"why_apply_esc","School said it was automatically applied",1,"cost_financial_assistance","1;3",TRUE
258,"why_apply_esc","Para po magkaroon ng malaking discount sa tution ng aking anak kahit sa private sya nag aral wala po kasi kami kakayanan n mabayaraan ang full tuition saoat lang po ang aming kita",1,"cost_financial_assistance","1;3",TRUE
259,"why_apply_esc","Because my family is belong to the 4ps beneficiary.",4,"school_or_person_recommended","4",FALSE
260,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
261,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
262,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
263,"why_apply_esc","Para mabawasan yung bigat sa pagbabayad ng tuition",1,"cost_financial_assistance","1",FALSE
264,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
265,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
266,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
267,"why_apply_esc","I am a single mother",90,"other_substantive","90",TRUE
268,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
269,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
270,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
271,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
272,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
273,"why_apply_esc","TO ENJOY THE HALF FREE TUITION EDUCATION PROGRAM OF THE GOVERNMENT WHERE OUR TAXES GO",1,"cost_financial_assistance","1;3",TRUE
274,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
275,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
276,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
277,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
278,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
279,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
280,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
281,"why_apply_esc","To save tuition",1,"cost_financial_assistance","1",FALSE
282,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
283,"why_apply_esc","To save",90,"other_substantive","90",TRUE
284,"why_apply_esc","They encourage to us",90,"other_substantive","90",TRUE
285,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
286,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
287,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
288,"why_apply_esc","To learn",90,"other_substantive","90",TRUE
289,"why_apply_esc","To Help cover tuition fee",1,"cost_financial_assistance","1",FALSE
290,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
291,"why_apply_esc","Help to cover tuition fee",1,"cost_financial_assistance","1",FALSE
292,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
293,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
294,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
295,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
296,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
297,"why_apply_esc","Financial assistant",1,"cost_financial_assistance","1",FALSE
298,"why_apply_esc","To continue studying my son",90,"other_substantive","90",TRUE
299,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
300,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
301,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
302,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
303,"why_apply_esc","To  help reduce the cost of tuition and support the student education.",1,"cost_financial_assistance","1;3",TRUE
304,"why_apply_esc","For the learner to continue study because of the support given by this ESC.",1,"cost_financial_assistance","1",FALSE
305,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
306,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
307,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
308,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
309,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
310,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
311,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
312,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
313,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
314,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
315,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
316,"why_apply_esc","To help me pay for her tuition/ needed for assistance",1,"cost_financial_assistance","1",FALSE
317,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
318,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
319,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
320,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
321,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
322,"why_apply_esc","PARA MAKALESS SA BAYRONON SA TUITION.",1,"cost_financial_assistance","1",FALSE
323,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
324,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
325,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
326,"why_apply_esc","Laser payment",90,"other_substantive","90",TRUE
327,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
328,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
329,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
330,"why_apply_esc","lower income",90,"other_substantive","90",TRUE
331,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
332,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
333,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
334,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
335,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
336,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
337,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
338,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
339,"why_apply_esc","because we are financially insufficient to send my daughter to your school",1,"cost_financial_assistance","1;3",TRUE
340,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
341,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
342,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
343,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
344,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
345,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
346,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
347,"why_apply_esc","KAY DILI NAMO MAKAYA ANG TUITION KUNG DAKO RA KAAYO.",1,"cost_financial_assistance","1",FALSE
348,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
349,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
350,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
351,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
352,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
353,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
354,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
355,"why_apply_esc","TUNGOD SA DILI NA GYUD MAKAYA ANG BAYRONON",90,"other_substantive","90",TRUE
356,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
357,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
358,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
359,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
360,"why_apply_esc","KAY DILI MAKAYA ANG TUITION",1,"cost_financial_assistance","1",FALSE
361,"why_apply_esc","Low income",90,"other_substantive","90",TRUE
362,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
363,"why_apply_esc",,99,"blank_none_or_not_applicable","99",FALSE
