,Region_Code,Division_Code,Municipality_Code,Full_Division_Code,Full_Municipality_Code,BEIS_School_ID,Implementing_Unit,Modified_COC,School_Type,Enroll_G7_M,Enroll_G7_F,Enroll_G8_M,Enroll_G8_F,Enroll_G9_M,Enroll_G9_F,Enroll_G10_M,Enroll_G10_F,Enroll_SNEd_NGJHS_M,Enroll_SNEd_NGJHS_F,Enroll_Total_JHS_M,Enroll_Total_JHS_F,Enroll_Total_JHS_All,Dropout_Rate_G7_M,Dropout_Rate_G7_F,Dropout_Rate_G8_M,Dropout_Rate_G8_F,Dropout_Rate_G9_M,Dropout_Rate_G9_F,Dropout_Rate_G10_M,Dropout_Rate_G10_F,Dropout_Rate_SNEd_NGJHS_M,Dropout_Rate_SNEd_NGJHS_F,Dropout_Rate_Total_JHS_M,Dropout_Rate_Total_JHS_F,Dropout_Rate_Total_JHS_All,JHS_Instructional_Rooms,JHS_Classroom_Ratio,JHS_Seats,JHS_Seat_Ratio,JHS_Toilet,JHS_Toilet_Ratio,JHS_Computer,JHS_Computer_Ratio,JHS_Teacher,JHS_Teacher_Ratio,Cancel_2016,Cancel_2017,Cancel_2018,Cancel_2019,Cancel_2020,Cancel_2021,Cancel_2022,Cancel_2023,Cancel_Total_20162023,Cancel_Average_20162023,Pilot_Cancel,Pilot_Ratio,Pilot_Shift
211,1,5,25,105,10525,502542,0,3,1,14,5,0,0,0,0,0,0,0,0,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,0,-999,1,0,6,6,2,2,11,11,138,5,1,0,0
212,1,5,18,105,10518,502097,0,3,1,19,8,15,8,29,8,0,0,0,0,63,24,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,184,0,6,14.5,0,-999,2,43.5,1,0,6,6,2,2,11,11,138,5,1,1,0
213,1,5,27,105,10527,502098,0,3,1,22,17,23,18,30,24,0,0,0,0,75,59,134,0.0455,0,0.0435,0.0556,0.0333,0,0,0,0,0,0.04,0.0169,0.0299,2,67,20,7,4,33.5,0,-999,1,134,1,0,6,6,2,2,11,11,138,5,1,1,0
214,1,5,31,105,10531,501746,0,3,1,14,7,14,12,16,7,13,6,0,0,57,32,89,0,0.1429,0,0,0,0,0.0769,0,0,0,0.0175,0.0313,0.0225,1,89,-999,0,2,44.5,0,-999,2,44.5,1,0,6,6,2,2,11,11,138,5,1,1,0
215,1,5,32,105,10532,502140,0,3,1,24,22,28,26,27,19,0,0,0,0,79,67,146,0.0417,0,0.0714,0,0.0741,0.0526,0,0,0,0,0.0633,0.0149,0.0411,-999,-999,17,9,12,12.17,0,-999,1,146,1,0,6,6,2,2,11,11,138,5,1,1,0
216,1,9,1,109,10901,501897,0,3,1,15,14,18,12,27,9,12,9,0,0,72,44,116,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,-999,0,3,38.67,0,-999,2,58,3,0,6,7,2,2,13,6,39,5,1,1,0
217,1,9,1,109,10901,502204,0,3,1,14,11,18,13,16,12,0,0,0,0,48,36,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,-999,0,0,-999,45,1.866666667,2,42,3,0,6,7,2,2,13,6,39,5,1,1,0
218,1,9,1,109,10901,502319,0,3,1,6,4,8,6,0,0,0,0,0,0,14,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,-999,0,8,3,0,-999,2,12,3,0,6,7,2,2,13,6,39,5,1,0,0
219,1,9,3,109,10903,502584,0,3,1,5,1,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,7,0.857142857,2,3,3,0,6,7,2,2,13,6,39,5,1,0,0
220,1,9,5,109,10905,502306,0,3,1,18,4,21,14,16,11,0,0,0,0,55,29,84,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,-999,0,-999,2,42,3,0,6,7,2,2,13,6,39,5,1,1,0
221,1,9,5,109,10905,502587,0,3,1,13,2,0,0,0,0,0,0,0,0,13,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.14,-999,0,0,-999,0,-999,1,15,3,0,6,7,2,2,13,6,39,5,1,0,0
222,1,9,11,109,10911,502586,0,3,1,8,7,0,0,0,0,0,0,0,0,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.67,76,0,13,1.15,0,-999,1,15,3,0,6,7,2,2,13,6,39,5,1,0,0
223,1,9,14,109,10914,502585,0,3,1,15,18,0,0,0,0,0,0,0,0,15,18,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.6,134,0,24,1.38,0,-999,1,33,3,0,6,7,2,2,13,6,39,5,1,0,0
224,1,9,19,109,10919,501950,0,3,1,2,1,0,5,2,1,2,2,0,0,6,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.88,34,0,18,0.83,0,-999,1,15,3,0,6,7,2,2,13,6,39,5,1,0,0
225,1,5,1,105,10501,300033,0,2,1,37,43,53,38,52,57,55,47,0,0,197,185,382,0.027,0,0.0755,0,0.0769,0,0.0182,0,0,0,0.0508,0,0.0262,13,28.68,161,2,20,19.46,24,15.91666667,24,15.92,1,0,6,6,2,2,11,11,138,5,1,0,0
226,1,5,30,105,10530,300036,0,2,1,24,16,24,28,26,22,21,28,0,0,95,94,189,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20.69,190,1,11,16.81,37,5.108108108,13,14.54,1,0,6,6,2,2,11,11,138,5,1,0,0
227,1,5,2,105,10502,300037,0,2,1,43,38,54,41,74,54,59,50,0,0,230,183,413,0.0465,0,0.037,0.0244,0.0135,0.0185,0.1525,0.02,0,0,0.0609,0.0164,0.0412,8,53.08,260,2,10,42.47,0,-999,23,17.96,1,0,6,6,2,2,11,11,138,5,1,0,0
228,1,5,10,105,10510,300054,0,2,1,40,29,51,34,45,47,49,40,0,0,185,150,335,0.1,0.0345,0.0784,0,0.1556,0,0,0,0,0,0.0811,0.0067,0.0478,13,26.61,801,0,17,19.96,83,4.036144578,12,27.92,1,0,6,6,2,2,11,11,138,5,1,0,0
