school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,level_group,reading_category,student_count,english_assessed,percent_of_english_assessed
306038,11,1102,110202,Control,BoSY,Grade 7,2-level,frustration,1,33,3.0303030303030303
500221,7,705,70527,Control,BoSY,Grade 7,2-level,frustration,5,22,22.727272727272727
500744,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,5,55,9.090909090909092
305884,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,16,125,12.8
303170,7,709,70901,Control,BoSY,Grade 7,2-level,frustration,0,51,0
500787,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,1,49,2.0408163265306123
500667,7,705,70528,Control,BoSY,Grade 7,2-level,frustration,0,72,0
501071,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,25,0
303046,7,705,70527,Control,BoSY,Grade 7,2-level,frustration,1,84,1.1904761904761905
325303,7,707,70701,Control,BoSY,Grade 7,2-level,frustration,8,85,9.411764705882353
500208,7,703,70305,Control,BoSY,Grade 7,2-level,frustration,0,19,0
312401,7,705,70525,Control,BoSY,Grade 7,2-level,frustration,0,116,0
303136,7,706,70601,Control,BoSY,Grade 7,2-level,frustration,19,111,17.117117117117118
312435,7,707,70701,Control,BoSY,Grade 7,2-level,frustration,23,54,42.592592592592595
502186,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,19,0
500782,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,8,291,2.7491408934707904
306086,11,1106,110606,Control,BoSY,Grade 7,2-level,frustration,4,18,22.22222222222222
305755,7,705,70529,Control,BoSY,Grade 7,2-level,frustration,46,138,33.333333333333336
305665,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,0,25,0
501635,7,703,70301,Control,BoSY,Grade 7,2-level,frustration,6,62,9.67741935483871
305843,11,1110,111001,Control,BoSY,Grade 7,2-level,frustration,4,60,6.666666666666667
500894,7,705,70517,Control,BoSY,Grade 7,2-level,frustration,27,101,26.73267326732673
500671,7,705,70506,Control,BoSY,Grade 7,2-level,frustration,10,28,35.714285714285715
305847,11,1105,110503,Control,BoSY,Grade 7,2-level,frustration,4,60,6.666666666666667
500784,7,708,70801,Control,BoSY,Grade 7,2-level,frustration,0,24,0
501267,7,705,70525,Control,BoSY,Grade 7,2-level,frustration,0,42,0
306000,7,705,70525,Control,BoSY,Grade 7,2-level,frustration,5,63,7.936507936507937
305517,11,1106,110608,Control,BoSY,Grade 7,2-level,frustration,7,53,13.20754716981132
305713,7,710,71001,Control,BoSY,Grade 7,2-level,frustration,1,65,1.5384615384615385
500768,7,705,70521,Control,BoSY,Grade 7,2-level,frustration,22,83,26.50602409638554
316303,11,1107,110701,Control,BoSY,Grade 7,2-level,frustration,17,71,23.943661971830984
316304,11,1107,110701,Control,BoSY,Grade 7,2-level,frustration,13,101,12.871287128712872
305506,11,1101,110101,Control,BoSY,Grade 7,2-level,frustration,9,22,40.90909090909091
500421,7,705,70507,Control,BoSY,Grade 7,2-level,frustration,2,113,1.7699115044247788
305681,11,1110,111001,Control,BoSY,Grade 7,2-level,frustration,86,230,37.391304347826086
