school_id,time_point,grade,level_group,english_assessed,summed_category_count,discrepancy_count,has_discrepancy
301437,BoSY,Grade 10,2-level,913,244,-669,TRUE
301437,BoSY,Grade 10,3-level,913,304,-609,TRUE
301437,BoSY,Grade 7,2-level,1034,428,-606,TRUE
301437,BoSY,Grade 7,3-level,1034,600,-434,TRUE
301437,BoSY,Grade 8,2-level,1126,270,-856,TRUE
301437,BoSY,Grade 8,3-level,1126,837,-289,TRUE
301437,BoSY,Grade 9,2-level,916,353,-563,TRUE
301437,BoSY,Grade 9,3-level,916,478,-438,TRUE
301437,EoSY,Grade 10,eosy,895,895,0,FALSE
301437,EoSY,Grade 7,eosy,1031,1031,0,FALSE
301437,EoSY,Grade 8,eosy,1114,1114,0,FALSE
301437,EoSY,Grade 9,eosy,912,912,0,FALSE
301438,BoSY,Grade 10,2-level,444,206,-238,TRUE
301438,BoSY,Grade 10,3-level,444,233,-211,TRUE
301438,BoSY,Grade 7,2-level,538,74,-464,TRUE
301438,BoSY,Grade 7,3-level,538,462,-76,TRUE
301438,BoSY,Grade 8,2-level,546,104,-442,TRUE
301438,BoSY,Grade 8,3-level,546,442,-104,TRUE
301438,BoSY,Grade 9,2-level,429,226,-203,TRUE
301438,BoSY,Grade 9,3-level,429,195,-234,TRUE
301438,EoSY,Grade 10,eosy,436,436,0,FALSE
301438,EoSY,Grade 7,eosy,524,524,0,FALSE
301438,EoSY,Grade 8,eosy,514,514,0,FALSE
301438,EoSY,Grade 9,eosy,443,443,0,FALSE
301451,BoSY,Grade 10,2-level,280,163,-117,TRUE
301451,BoSY,Grade 10,3-level,280,14,-266,TRUE
301451,BoSY,Grade 7,2-level,370,54,-316,TRUE
301451,BoSY,Grade 7,3-level,370,185,-185,TRUE
301451,BoSY,Grade 8,2-level,350,65,-285,TRUE
301451,BoSY,Grade 8,3-level,350,186,-164,TRUE
301451,BoSY,Grade 9,2-level,260,173,-87,TRUE
301451,BoSY,Grade 9,3-level,260,49,-211,TRUE
301451,EoSY,Grade 10,eosy,280,280,0,FALSE
301451,EoSY,Grade 7,eosy,369,369,0,FALSE
301451,EoSY,Grade 8,eosy,362,362,0,FALSE
301451,EoSY,Grade 9,eosy,259,259,0,FALSE
301456,BoSY,Grade 10,2-level,516,180,-336,TRUE
301456,BoSY,Grade 10,3-level,516,324,-192,TRUE
301456,BoSY,Grade 7,2-level,619,244,-375,TRUE
301456,BoSY,Grade 7,3-level,619,229,-390,TRUE
301456,BoSY,Grade 8,2-level,642,148,-494,TRUE
301456,BoSY,Grade 8,3-level,642,488,-154,TRUE
301456,BoSY,Grade 9,2-level,453,208,-245,TRUE
301456,BoSY,Grade 9,3-level,453,177,-276,TRUE
301456,EoSY,Grade 10,eosy,517,517,0,FALSE
301456,EoSY,Grade 7,eosy,639,639,0,FALSE
301456,EoSY,Grade 8,eosy,635,635,0,FALSE
301456,EoSY,Grade 9,eosy,446,446,0,FALSE
301464,BoSY,Grade 10,2-level,542,508,-34,TRUE
301464,BoSY,Grade 10,3-level,542,0,-542,TRUE
301464,BoSY,Grade 7,2-level,651,287,-364,TRUE
301464,BoSY,Grade 7,3-level,651,273,-378,TRUE
301464,BoSY,Grade 8,2-level,540,221,-319,TRUE
301464,BoSY,Grade 8,3-level,540,277,-263,TRUE
301464,BoSY,Grade 9,2-level,501,315,-186,TRUE
301464,BoSY,Grade 9,3-level,501,133,-368,TRUE
301464,EoSY,Grade 10,eosy,508,508,0,FALSE
301464,EoSY,Grade 7,eosy,558,558,0,FALSE
301464,EoSY,Grade 8,eosy,495,495,0,FALSE
301464,EoSY,Grade 9,eosy,447,447,0,FALSE
301489,BoSY,Grade 10,2-level,293,131,-162,TRUE
301489,BoSY,Grade 10,3-level,293,162,-131,TRUE
301489,BoSY,Grade 7,2-level,403,151,-252,TRUE
301489,BoSY,Grade 7,3-level,403,252,-151,TRUE
301489,BoSY,Grade 8,2-level,329,72,-257,TRUE
301489,BoSY,Grade 8,3-level,329,257,-72,TRUE
301489,BoSY,Grade 9,2-level,285,145,-140,TRUE
301489,BoSY,Grade 9,3-level,285,138,-147,TRUE
301489,EoSY,Grade 10,eosy,266,266,0,FALSE
301489,EoSY,Grade 7,eosy,385,385,0,FALSE
301489,EoSY,Grade 8,eosy,318,318,0,FALSE
301489,EoSY,Grade 9,eosy,275,275,0,FALSE
301497,BoSY,Grade 10,2-level,357,122,-235,TRUE
301497,BoSY,Grade 10,3-level,357,225,-132,TRUE
301497,BoSY,Grade 7,2-level,444,145,-299,TRUE
301497,BoSY,Grade 7,3-level,444,295,-149,TRUE
301497,BoSY,Grade 8,2-level,375,99,-276,TRUE
301497,BoSY,Grade 8,3-level,375,273,-102,TRUE
301497,BoSY,Grade 9,2-level,328,134,-194,TRUE
301497,BoSY,Grade 9,3-level,328,156,-172,TRUE
301497,EoSY,Grade 10,eosy,333,333,0,FALSE
301497,EoSY,Grade 7,eosy,372,372,0,FALSE
301497,EoSY,Grade 8,eosy,356,356,0,FALSE
301497,EoSY,Grade 9,eosy,287,287,0,FALSE
301507,BoSY,Grade 10,2-level,128,60,-68,TRUE
301507,BoSY,Grade 10,3-level,128,66,-62,TRUE
301507,BoSY,Grade 7,2-level,130,39,-91,TRUE
301507,BoSY,Grade 7,3-level,130,91,-39,TRUE
301507,BoSY,Grade 8,2-level,123,21,-102,TRUE
301507,BoSY,Grade 8,3-level,123,100,-23,TRUE
301507,BoSY,Grade 9,2-level,123,57,-66,TRUE
301507,BoSY,Grade 9,3-level,123,61,-62,TRUE
301507,EoSY,Grade 10,eosy,128,128,0,FALSE
301507,EoSY,Grade 7,eosy,139,139,0,FALSE
