school_id,region_code,full_division_code,full_municipality_code,treatment_status,time_point,grade,proficiency_group,student_count,assessed_count,percent_of_assessed
309915,5,508,50801,Treatment,BoSY,Grade 7,low proficient,16,51,31.372549019607842
501544,5,508,50815,Treatment,BoSY,Grade 7,low proficient,21,72,29.166666666666668
301887,5,502,50205,Treatment,BoSY,Grade 7,low proficient,13,101,12.871287128712872
302175,5,508,50820,Treatment,BoSY,Grade 7,low proficient,0,132,0
302146,5,508,50812,Treatment,BoSY,Grade 7,low proficient,11,160,6.875
309921,5,508,50805,Treatment,BoSY,Grade 7,low proficient,8,97,8.24742268041237
302254,5,505,50501,Control,BoSY,Grade 7,low proficient,6,93,6.451612903225806
309513,5,501,50112,Control,BoSY,Grade 7,low proficient,3,122,2.459016393442623
500163,5,508,50801,Control,BoSY,Grade 7,low proficient,23,76,30.263157894736842
302058,5,503,50333,Control,BoSY,Grade 7,low proficient,4,138,2.898550724637681
302192,5,511,51103,Control,BoSY,Grade 7,low proficient,73,287,25.43554006968641
302227,5,511,51105,Control,BoSY,Grade 7,low proficient,10,98,10.204081632653061
302252,5,505,50501,Control,BoSY,Grade 7,low proficient,31,99,31.31313131313131
309914,5,508,50806,Control,BoSY,Grade 7,low proficient,49,229,21.397379912663755
309711,5,503,50317,Control,BoSY,Grade 7,low proficient,1,65,1.5384615384615385
301817,5,507,50701,Control,BoSY,Grade 7,low proficient,3,114,2.6315789473684212
302165,5,508,50816,Control,BoSY,Grade 7,low proficient,14,92,15.217391304347826
301974,5,503,50311,Treatment,BoSY,Grade 7,low proficient,3,87,3.4482758620689653
302256,5,505,50501,Control,BoSY,Grade 7,low proficient,23,114,20.17543859649123
301834,5,501,50106,Control,BoSY,Grade 7,low proficient,28,163,17.177914110429448
309760,5,503,50306,Control,BoSY,Grade 7,low proficient,20,34,58.8235294117647
309936,5,508,50819,Control,BoSY,Grade 7,low proficient,8,59,13.559322033898304
302203,5,511,51102,Control,BoSY,Grade 7,low proficient,9,80,11.25
302011,5,503,50314,Control,BoSY,Grade 7,low proficient,68,244,27.868852459016395
500168,5,505,50501,Control,BoSY,Grade 7,low proficient,6,90,6.666666666666667
301947,5,503,50306,Control,BoSY,Grade 7,low proficient,186,365,50.95890410958904
309941,5,508,50812,Control,BoSY,Grade 7,low proficient,0,232,0
301839,5,501,50111,Control,BoSY,Grade 7,low proficient,65,90,72.22222222222223
501843,5,508,50818,Treatment,BoSY,Grade 7,low proficient,23,40,57.5
302111,5,508,50801,Control,BoSY,Grade 7,low proficient,234,540,43.333333333333336
302133,5,509,50901,Control,BoSY,Grade 7,low proficient,93,190,48.94736842105263
301990,5,503,50317,Control,BoSY,Grade 7,low proficient,1,21,4.761904761904762
309937,5,508,50819,Control,BoSY,Grade 7,low proficient,2,80,2.5
302241,5,511,51105,Control,BoSY,Grade 7,low proficient,90,169,53.25443786982248
500167,5,505,50501,Control,BoSY,Grade 7,low proficient,5,69,7.246376811594203
309764,5,503,50320,Control,BoSY,Grade 7,low proficient,5,40,12.5
302205,5,511,51106,Control,BoSY,Grade 7,low proficient,27,136,19.852941176470587
302014,5,503,50302,Control,BoSY,Grade 7,low proficient,19,165,11.515151515151516
309740,5,503,50315,Control,BoSY,Grade 7,low proficient,0,73,0
309741,5,503,50315,Control,BoSY,Grade 7,low proficient,8,110,7.2727272727272725
302161,5,508,50803,Treatment,BoSY,Grade 7,low proficient,4,99,4.040404040404041
302113,5,508,50818,Treatment,BoSY,Grade 7,low proficient,4,99,4.040404040404041
302127,5,508,50817,Control,BoSY,Grade 7,low proficient,3,48,6.25
301899,5,502,50205,Control,BoSY,Grade 7,low proficient,7,132,5.303030303030303
309509,5,501,50113,Control,BoSY,Grade 7,low proficient,51,96,53.125
309903,5,508,50816,Control,BoSY,Grade 7,low proficient,3,101,2.9702970297029703
301995,5,503,50310,Control,BoSY,Grade 7,low proficient,41,62,66.12903225806451
309702,5,503,50325,Control,BoSY,Grade 7,low proficient,9,257,3.501945525291829
501020,5,503,50310,Control,BoSY,Grade 7,low proficient,2,33,6.0606060606060606
309743,5,503,50332,Control,BoSY,Grade 7,low proficient,23,116,19.82758620689655
301816,5,501,50101,Control,BoSY,Grade 7,low proficient,12,99,12.121212121212121
302054,5,503,50315,Control,BoSY,Grade 7,low proficient,3,114,2.6315789473684212
301862,5,507,50701,Control,BoSY,Grade 7,low proficient,25,247,10.121457489878543
502477,5,501,50108,Control,BoSY,Grade 7,low proficient,0,26,0
302283,5,513,51301,Control,BoSY,Grade 7,low proficient,10,332,3.0120481927710845
301900,5,502,50206,Control,BoSY,Grade 7,low proficient,2,71,2.816901408450704
302123,5,508,50808,Control,BoSY,Grade 7,low proficient,0,81,0
309512,5,501,50110,Control,BoSY,Grade 7,low proficient,5,50,10
302284,5,513,51301,Control,BoSY,Grade 7,low proficient,2,180,1.1111111111111112
500034,5,508,50819,Control,BoSY,Grade 7,low proficient,9,38,23.68421052631579
302043,5,503,50305,Control,BoSY,Grade 7,low proficient,6,227,2.643171806167401
302182,5,511,51107,Control,BoSY,Grade 7,low proficient,16,88,18.181818181818183
301986,5,503,50334,Control,BoSY,Grade 7,low proficient,39,216,18.055555555555557
302109,5,508,50817,Control,BoSY,Grade 7,low proficient,8,275,2.909090909090909
302061,5,503,50311,Control,BoSY,Grade 7,low proficient,6,82,7.317073170731708
309931,5,508,50802,Control,BoSY,Grade 7,low proficient,1,87,1.1494252873563218
301984,5,503,50331,Control,BoSY,Grade 7,low proficient,51,225,22.666666666666668
302156,5,508,50803,Control,BoSY,Grade 7,low proficient,2,101,1.9801980198019802
309705,5,503,50330,Control,BoSY,Grade 7,low proficient,77,87,88.50574712643679
500165,5,508,50804,Control,BoSY,Grade 7,low proficient,44,51,86.27450980392157
301930,5,503,50328,Control,BoSY,Grade 7,low proficient,7,100,7
