time_point,school_id,grade,assessed_count,summed_proficiency_count,discrepancy_count,has_discrepancy,is_in_dlp_randomization_file
BoSY,300098,Grade 9,19,19,0,FALSE,FALSE
BoSY,300099,Grade 10,24,24,0,FALSE,TRUE
BoSY,300099,Grade 7,52,52,0,FALSE,TRUE
BoSY,300099,Grade 8,42,42,0,FALSE,TRUE
BoSY,300099,Grade 9,24,24,0,FALSE,TRUE
BoSY,300100,Grade 10,64,64,0,FALSE,FALSE
BoSY,300100,Grade 7,73,73,0,FALSE,FALSE
BoSY,300100,Grade 8,77,77,0,FALSE,FALSE
BoSY,300100,Grade 9,40,40,0,FALSE,FALSE
BoSY,300101,Grade 10,35,35,0,FALSE,FALSE
BoSY,300101,Grade 7,54,54,0,FALSE,FALSE
BoSY,300101,Grade 8,52,52,0,FALSE,FALSE
BoSY,300101,Grade 9,27,27,0,FALSE,FALSE
BoSY,300102,Grade 10,71,71,0,FALSE,FALSE
BoSY,300102,Grade 7,106,106,0,FALSE,FALSE
BoSY,300102,Grade 8,59,59,0,FALSE,FALSE
BoSY,300102,Grade 9,71,71,0,FALSE,FALSE
BoSY,300103,Grade 10,44,44,0,FALSE,FALSE
BoSY,300103,Grade 7,79,79,0,FALSE,FALSE
BoSY,300103,Grade 8,69,69,0,FALSE,FALSE
BoSY,300103,Grade 9,42,42,0,FALSE,FALSE
BoSY,300104,Grade 10,138,138,0,FALSE,FALSE
BoSY,300104,Grade 7,182,182,0,FALSE,FALSE
BoSY,300104,Grade 8,160,160,0,FALSE,FALSE
BoSY,300104,Grade 9,148,148,0,FALSE,FALSE
BoSY,300105,Grade 10,33,33,0,FALSE,FALSE
BoSY,300105,Grade 7,55,55,0,FALSE,FALSE
BoSY,300105,Grade 8,49,49,0,FALSE,FALSE
BoSY,300105,Grade 9,27,27,0,FALSE,FALSE
BoSY,300106,Grade 10,272,272,0,FALSE,TRUE
BoSY,300106,Grade 7,281,281,0,FALSE,TRUE
BoSY,300106,Grade 8,334,334,0,FALSE,TRUE
